"","Month","Year","Area","SpeciesName","TotalSpeciesWeight","SpeciesBiomass"
"368","February",2004,"Shark","Erimyzon sucetta",0.213827845,0.030546835
"369","October",2004,"Shark","Erimyzon sucetta",0.13227962,0.01889709
"370","April",2005,"Shark","Erimyzon sucetta",0.11063038,0.02212608
"371","February",2005,"Shark","Erimyzon sucetta",0.0500414671428571,0.00714878285714286
"372","July",1996,"Taylor","Erimyzon sucetta",0.30515474,0.04359353
"373","April",1997,"Taylor","Erimyzon sucetta",0.12666019,0.01809431
"374","December",1997,"Taylor","Erimyzon sucetta",0.02255473,0.0032221
"375","February",1997,"Taylor","Erimyzon sucetta",0.01714527,0.002449326
"376","April",1998,"Taylor","Erimyzon sucetta",0.31308254875,0.0447260775
"377","December",1998,"Taylor","Erimyzon sucetta",0.61970545,0.08852935
"378","February",1998,"Taylor","Erimyzon sucetta",0.09233616,0.0131908775
"379","July",1998,"Taylor","Erimyzon sucetta",0.593434136666667,0.0847763066666667
"380","February",1999,"Taylor","Erimyzon sucetta",0.34392623,0.0491323175
"381","April",2000,"Taylor","Erimyzon sucetta",0.06940273,0.00991468
"382","December",2000,"Taylor","Erimyzon sucetta",0.144648,0.020664
"383","February",2000,"Taylor","Erimyzon sucetta",0.017134315,0.00244776
"384","October",2000,"Taylor","Erimyzon sucetta",0.09085583,0.0129794
"385","April",2003,"Taylor","Erimyzon sucetta",0.09612245,0.01922449
"386","February",2003,"Taylor","Erimyzon sucetta",0.01662894,0.00332579
"387","April",2004,"Taylor","Erimyzon sucetta",0.088318575,0.017663715
"388","December",2004,"Taylor","Erimyzon sucetta",0.0055514,0.00079306
"389","February",2004,"Taylor","Erimyzon sucetta",0.011495995,0.0022992
"390","April",2003,"Shark","Esox americanus",11.71491687,1.67355955
"391","February",2003,"Shark","Esox americanus",-9999,-9999
"392","July",2003,"Shark","Esox americanus",10.94685071,1.56383582
"393","April",2004,"Shark","Esox americanus",2.50850171,0.35835739
"394","April",2005,"Shark","Esox americanus",0.24381376,0.04876275
"395","February",2005,"Shark","Esox americanus",28.4463825125,4.0637689325
"396","October",2004,"Taylor","Esox americanus",0.41509893,0.05929985
"397","April",2003,"Taylor","Esox niger",0.06817573,0.01363515
"398","April",1996,"Shark","Fundulus chrysotus",0.587979046666667,0.0839970055555556
"399","December",1996,"Shark","Fundulus chrysotus",0.618961897777778,0.0884231277777778
"400","February",1996,"Shark","Fundulus chrysotus",0.434457684444444,0.0620653833333333
"401","July",1996,"Shark","Fundulus chrysotus",0.24834978,0.03547854
"402","October",1996,"Shark","Fundulus chrysotus",0.317117842222222,0.0453025488888889
"403","April",1997,"Shark","Fundulus chrysotus",0.948371418571428,0.149088431428571
"404","December",1997,"Shark","Fundulus chrysotus",0.668553124444444,0.09550759
"405","February",1997,"Shark","Fundulus chrysotus",0.660478452222222,0.0943540633333333
"406","July",1997,"Shark","Fundulus chrysotus",0.810949995555556,0.11585
"407","October",1997,"Shark","Fundulus chrysotus",0.710046471111111,0.10143521
"408","April",1998,"Shark","Fundulus chrysotus",0.794064978888889,0.113437854444444
"409","December",1998,"Shark","Fundulus chrysotus",0.494316163333333,0.0706165955555556
"410","February",1998,"Shark","Fundulus chrysotus",0.776802165555556,0.110971737777778
"411","July",1998,"Shark","Fundulus chrysotus",0.513883261111111,0.0734118944444444
"412","October",1998,"Shark","Fundulus chrysotus",0.461660425555556,0.06595149
"413","April",1999,"Shark","Fundulus chrysotus",0.81091129375,0.1304511075
"414","December",1999,"Shark","Fundulus chrysotus",0.384559957777778,0.0549371355555556
"415","February",1999,"Shark","Fundulus chrysotus",0.808695692222222,0.115527957777778
"416","July",1999,"Shark","Fundulus chrysotus",0.432059453333333,0.0617227777777778
"417","October",1999,"Shark","Fundulus chrysotus",0.2296713375,0.0328101925
"418","April",2000,"Shark","Fundulus chrysotus",0.136620173333333,0.0195171683333333
"419","December",2000,"Shark","Fundulus chrysotus",0.493270661111111,0.0704672388888889
"420","February",2000,"Shark","Fundulus chrysotus",0.3852334175,0.0550333475
"421","July",2000,"Shark","Fundulus chrysotus",0.239714245555556,0.03424489
"422","October",2000,"Shark","Fundulus chrysotus",0.362325467777778,0.05176078
"423","April",2001,"Shark","Fundulus chrysotus",0.04234728,0.02198487
"424","December",2001,"Shark","Fundulus chrysotus",0.30040389,0.0429148411111111
"425","February",2001,"Shark","Fundulus chrysotus",0.835055763333333,0.11929368
"426","September",2001,"Shark","Fundulus chrysotus",0.15345037875,0.02192148125
"427","April",2002,"Shark","Fundulus chrysotus",0.36637082125,0.0523386875
"428","December",2002,"Shark","Fundulus chrysotus",0.372233000769231,0.0531761434615385
"429","July",2002,"Shark","Fundulus chrysotus",0.0708379855555556,0.0101197122222222
"430","October",2002,"Shark","Fundulus chrysotus",0.281099740666667,0.0401571073333333
"431","April",2003,"Shark","Fundulus chrysotus",0.300927623333333,0.04298966
"432","December",2003,"Shark","Fundulus chrysotus",0.20213496125,0.02887642375
"433","February",2003,"Shark","Fundulus chrysotus",0.299329518333333,0.04276136
"434","July",2003,"Shark","Fundulus chrysotus",0.188071048,0.0268672913333333
"435","October",2003,"Shark","Fundulus chrysotus",0.0973685846666667,0.0139097973333333
"436","April",2004,"Shark","Fundulus chrysotus",0.357638786363636,0.0510912554545455
"437","February",2004,"Shark","Fundulus chrysotus",0.322333634375,0.0460476625
"438","July",2004,"Shark","Fundulus chrysotus",0.36218032,0.05278335
"439","October",2004,"Shark","Fundulus chrysotus",0.48731439625,0.069616341875
"440","April",2005,"Shark","Fundulus chrysotus",0.278962125,0.055792425
"441","February",2005,"Shark","Fundulus chrysotus",0.996800798,0.142400114666667
"442","December",1996,"Taylor","Fundulus chrysotus",0.579702231538462,0.0828146053846154
"443","July",1996,"Taylor","Fundulus chrysotus",0.530694648461538,0.0758135215384615
"444","May",1996,"Taylor","Fundulus chrysotus",0.71381998,0.101974283333333
"445","October",1996,"Taylor","Fundulus chrysotus",0.511382882307692,0.0730546976923077
"446","April",1997,"Taylor","Fundulus chrysotus",0.529439301111111,0.0756341866666667
"447","December",1997,"Taylor","Fundulus chrysotus",0.573417306666667,0.0834159291666667
"448","February",1997,"Taylor","Fundulus chrysotus",0.606569906363636,0.0866528445454545
"449","July",1997,"Taylor","Fundulus chrysotus",0.266831122307692,0.0384057115384615
"450","October",1997,"Taylor","Fundulus chrysotus",0.584724466153846,0.0835320653846154
"451","April",1998,"Taylor","Fundulus chrysotus",0.745981286363636,0.107331387272727
"452","December",1998,"Taylor","Fundulus chrysotus",0.43272452,0.0618177884615385
"453","February",1998,"Taylor","Fundulus chrysotus",0.457279716363636,0.0657861627272727
"454","July",1998,"Taylor","Fundulus chrysotus",0.422348615833333,0.060985675
"455","October",1998,"Taylor","Fundulus chrysotus",0.316098373076923,0.0451569115384615
"456","April",1999,"Taylor","Fundulus chrysotus",1.584167645,0.2725216675
"457","December",1999,"Taylor","Fundulus chrysotus",0.287429612,0.041061373
"458","February",1999,"Taylor","Fundulus chrysotus",0.422853868461538,0.0604076946153846
"459","July",1999,"Taylor","Fundulus chrysotus",0.0340518572727273,0.00486455
"460","October",1999,"Taylor","Fundulus chrysotus",0.327985198181818,0.0468550281818182
"461","April",2000,"Taylor","Fundulus chrysotus",0.598242434,0.085463206
"462","December",2000,"Taylor","Fundulus chrysotus",0.715753971538462,0.102250568461538
"463","February",2000,"Taylor","Fundulus chrysotus",0.44949501125,0.064213575
"464","July",2000,"Taylor","Fundulus chrysotus",0.133538383333333,0.0190769108333333
"465","October",2000,"Taylor","Fundulus chrysotus",0.489491641538462,0.0699273776923077
"466","April",2001,"Taylor","Fundulus chrysotus",0.765032645,0.228793545
"467","December",2001,"Taylor","Fundulus chrysotus",0.473166668181818,0.0675952363636364
"468","February",2001,"Taylor","Fundulus chrysotus",0.674766571428571,0.0963952228571429
"469","July",2001,"Taylor","Fundulus chrysotus",0.0354996975,0.005071385
"470","September",2001,"Taylor","Fundulus chrysotus",0.0991321109090909,0.0141617309090909
"471","April",2002,"Taylor","Fundulus chrysotus",2.17972604166667,0.311389433333333
"472","December",2002,"Taylor","Fundulus chrysotus",0.217770032222222,0.0311100044444444
"473","February",2002,"Taylor","Fundulus chrysotus",0.22443288875,0.03206184375
"474","July",2002,"Taylor","Fundulus chrysotus",0.01703647,0.00243378
"475","October",2002,"Taylor","Fundulus chrysotus",0.094381605,0.01348308625
"476","April",2003,"Taylor","Fundulus chrysotus",0.141983236,0.028396648
"477","December",2003,"Taylor","Fundulus chrysotus",0.402551073636364,0.0575072963636364
"478","February",2003,"Taylor","Fundulus chrysotus",0.118154686666667,0.0236309333333333
"479","July",2003,"Taylor","Fundulus chrysotus",0.201672087777778,0.0288102966666667
"480","October",2003,"Taylor","Fundulus chrysotus",0.145717820909091,0.0208168318181818
"481","April",2004,"Taylor","Fundulus chrysotus",1.03520237625,0.20704047625
"482","December",2004,"Taylor","Fundulus chrysotus",0.16383414,0.023404875
"483","February",2004,"Taylor","Fundulus chrysotus",0.2384641,0.0476928185714286
"484","October",2004,"Taylor","Fundulus chrysotus",0.0521020933333333,0.00744315666666667
"485","April",2005,"Taylor","Fundulus chrysotus",0.006319845,0.00126397
"486","February",2005,"Taylor","Fundulus chrysotus",0.1366244,0.02732488
"487","December",1996,"Shark","Fundulus confluentus",0.136794758333333,0.0195421083333333
"488","February",1996,"Shark","Fundulus confluentus",0.32720824,0.04674403
"489","July",1996,"Shark","Fundulus confluentus",0.02201554,0.00314508
"490","October",1996,"Shark","Fundulus confluentus",0.12083924,0.01726275
"491","December",1997,"Shark","Fundulus confluentus",0.1451875375,0.020741075
"492","July",1997,"Shark","Fundulus confluentus",0.255372386666667,0.03648177
"493","October",1997,"Shark","Fundulus confluentus",0.269599524,0.038514218
"494","April",1998,"Shark","Fundulus confluentus",0.17062308,0.02437473
"495","December",1998,"Shark","Fundulus confluentus",0.404451995,0.057778855
"496","February",1998,"Shark","Fundulus confluentus",0.1383014175,0.019757345
"497","July",1998,"Shark","Fundulus confluentus",0.217616463333333,0.0310880666666667
"498","October",1998,"Shark","Fundulus confluentus",0.28695438,0.040993485
"499","April",1999,"Shark","Fundulus confluentus",0.2083782,0.03271262
"500","December",1999,"Shark","Fundulus confluentus",0.16436279,0.0234804
"501","February",1999,"Shark","Fundulus confluentus",0.307615377142857,0.0439450557142857
"502","July",1999,"Shark","Fundulus confluentus",0.130597095714286,0.0186567285714286
"503","October",1999,"Shark","Fundulus confluentus",0.235445896666667,0.03363513
"504","April",2000,"Shark","Fundulus confluentus",0.46536228,0.0664803225
"505","December",2000,"Shark","Fundulus confluentus",0.198812596666667,0.0284018
"506","February",2000,"Shark","Fundulus confluentus",0.14908438,0.0212977666666667
"507","July",2000,"Shark","Fundulus confluentus",0.16972269,0.0242460966666667
"508","October",2000,"Shark","Fundulus confluentus",0.317621673333333,0.045374525
"509","April",2001,"Shark","Fundulus confluentus",0.03003761,0.03003761
"510","December",2001,"Shark","Fundulus confluentus",0.513521328888889,0.07336019
"511","February",2001,"Shark","Fundulus confluentus",0.058542975,0.00836328
"512","July",2001,"Shark","Fundulus confluentus",0.104429015,0.01491843
"513","September",2001,"Shark","Fundulus confluentus",0.336292488888889,0.0480417844444444
"514","April",2002,"Shark","Fundulus confluentus",1.45873404,0.20839057625
"515","December",2002,"Shark","Fundulus confluentus",0.510921281428571,0.0729887542857143
"516","July",2002,"Shark","Fundulus confluentus",0.20507532,0.0292964744444444
"517","October",2002,"Shark","Fundulus confluentus",0.56642222,0.08091746
"518","April",2003,"Shark","Fundulus confluentus",0.217593657142857,0.0360847842857143
"519","December",2003,"Shark","Fundulus confluentus",0.283285496,0.040469356
"520","February",2003,"Shark","Fundulus confluentus",0.137018792,0.019574112
"521","July",2003,"Shark","Fundulus confluentus",0.641383435454545,0.0916262045454545
"522","October",2003,"Shark","Fundulus confluentus",0.362065913636364,0.0517237018181818
"523","April",2004,"Shark","Fundulus confluentus",0.29305574,0.041865105
"524","February",2004,"Shark","Fundulus confluentus",0.243058592,0.034722656
"525","July",2004,"Shark","Fundulus confluentus",0.0069,0.00098571
"526","October",2004,"Shark","Fundulus confluentus",0.455567060769231,0.0650810084615385
"527","April",2005,"Shark","Fundulus confluentus",0.263913635,0.052782725
"528","February",2005,"Shark","Fundulus confluentus",0.546054758571429,0.0780078228571429
"529","December",1996,"Taylor","Fundulus confluentus",0.139705483333333,0.0199579266666667
"530","July",1996,"Taylor","Fundulus confluentus",0.187449726666667,0.0267785316666667
"531","October",1996,"Taylor","Fundulus confluentus",0.2384441425,0.03406345
"532","April",1997,"Taylor","Fundulus confluentus",0.432709355,0.0618156233333333
"533","December",1997,"Taylor","Fundulus confluentus",0.365290116666667,0.0521843033333333
"534","February",1997,"Taylor","Fundulus confluentus",0.110751971666667,0.01582171
"535","July",1997,"Taylor","Fundulus confluentus",0.08384729,0.012126332
"536","October",1997,"Taylor","Fundulus confluentus",0.35605297375,0.05086471125
"537","April",1998,"Taylor","Fundulus confluentus",0.2032663625,0.0316689525
"538","December",1998,"Taylor","Fundulus confluentus",0.194701962857143,0.0278145671428571
"539","February",1998,"Taylor","Fundulus confluentus",0.1911541275,0.0279767925
"540","July",1998,"Taylor","Fundulus confluentus",0.0274474125,0.004007665
"541","October",1998,"Taylor","Fundulus confluentus",0.233026274285714,0.0332894671428571
"542","April",1999,"Taylor","Fundulus confluentus",0.6242810475,0.1140298775
"543","December",1999,"Taylor","Fundulus confluentus",0.226512118333333,0.032358875
"544","February",1999,"Taylor","Fundulus confluentus",0.334690047,0.047812865
"545","July",1999,"Taylor","Fundulus confluentus",0.248294254444444,0.0354706066666667
"546","October",1999,"Taylor","Fundulus confluentus",0.161493344,0.023070478
"547","April",2000,"Taylor","Fundulus confluentus",0.577509723333333,0.08250139
"548","December",2000,"Taylor","Fundulus confluentus",0.43603324625,0.062290465
"549","February",2000,"Taylor","Fundulus confluentus",0.16651346,0.0237876375
"550","July",2000,"Taylor","Fundulus confluentus",0.142628998571429,0.0203755714285714
"551","October",2000,"Taylor","Fundulus confluentus",0.327569615714286,0.0467956614285714
"552","April",2001,"Taylor","Fundulus confluentus",0.97867667,0.286549745
"553","December",2001,"Taylor","Fundulus confluentus",0.429325635555556,0.0613322333333333
"554","February",2001,"Taylor","Fundulus confluentus",0.515709628333333,0.0736728066666667
"555","July",2001,"Taylor","Fundulus confluentus",0.112428201666667,0.0160611733333333
"556","September",2001,"Taylor","Fundulus confluentus",0.170122918888889,0.0243032722222222
"557","April",2002,"Taylor","Fundulus confluentus",1.20004459333333,0.171434943333333
"558","December",2002,"Taylor","Fundulus confluentus",0.187791922857143,0.0268274171428571
"559","February",2002,"Taylor","Fundulus confluentus",0.550888261428571,0.0786983228571429
"560","July",2002,"Taylor","Fundulus confluentus",0.0701306657142857,0.0100186671428571
"561","October",2002,"Taylor","Fundulus confluentus",0.268286192857143,0.0383266
"562","April",2003,"Taylor","Fundulus confluentus",0.05677439,0.01135488
"563","December",2003,"Taylor","Fundulus confluentus",0.132700425714286,0.0189572028571429
"564","February",2003,"Taylor","Fundulus confluentus",0.186518912,0.037303784
"565","July",2003,"Taylor","Fundulus confluentus",0.255852435555556,0.0365503488888889
"566","October",2003,"Taylor","Fundulus confluentus",0.424630968571429,0.0606615657142857
"567","April",2004,"Taylor","Fundulus confluentus",0.257882276666667,0.0515764533333333
"568","December",2004,"Taylor","Fundulus confluentus",0.490224504444444,0.0700320733333333
"569","February",2004,"Taylor","Fundulus confluentus",0.085459935,0.017091985
"570","October",2004,"Taylor","Fundulus confluentus",0.120287209166667,0.0171838866666667
"571","February",2005,"Taylor","Fundulus confluentus",0.33996084375,0.06799217
"572","April",1996,"Shark","Fundulus seminolis",0.11572255,0.01653179
"573","February",1996,"Shark","Fundulus seminolis",0.26295279,0.03756468
"574","October",1996,"Taylor","Fundulus seminolis",0.11404558,0.01629223
"575","July",1997,"Taylor","Fundulus seminolis",0.08948084,0.01278298
"576","October",2003,"Taylor","Fundulus seminolis",0.25063844,0.03580549
"577","May",1996,"Taylor","Fundulus similis",-9999,-9999
"578","April",1996,"Shark","Gambusia holbrooki",0.843783696666667,0.120540526666667
"579","December",1996,"Shark","Gambusia holbrooki",0.719288855555556,0.10275555
"580","February",1996,"Shark","Gambusia holbrooki",0.661290482222222,0.0944700688888889
"581","July",1996,"Shark","Gambusia holbrooki",0.874526257777778,0.124932323333333
"582","October",1996,"Shark","Gambusia holbrooki",0.827828564444444,0.118261222222222
"583","April",1997,"Shark","Gambusia holbrooki",0.739109274285714,0.107324297142857
"584","December",1997,"Shark","Gambusia holbrooki",0.62626958,0.0894670833333333
"585","February",1997,"Shark","Gambusia holbrooki",0.943796127777778,0.134828017777778
"586","July",1997,"Shark","Gambusia holbrooki",1.05157663,0.150225232222222
"587","October",1997,"Shark","Gambusia holbrooki",0.881140672222222,0.12587724
"588","April",1998,"Shark","Gambusia holbrooki",0.913662875555556,0.130523268888889
"589","December",1998,"Shark","Gambusia holbrooki",0.836017842222222,0.119431122222222
"590","February",1998,"Shark","Gambusia holbrooki",0.558855433333333,0.0798364888888889
"591","July",1998,"Shark","Gambusia holbrooki",0.776069784444444,0.110867114444444
"592","October",1998,"Shark","Gambusia holbrooki",0.95093138,0.135847337777778
"593","April",1999,"Shark","Gambusia holbrooki",1.36399331,0.214101363333333
"594","December",1999,"Shark","Gambusia holbrooki",0.742417973333333,0.106059711111111
"595","February",1999,"Shark","Gambusia holbrooki",0.964580741111111,0.137797248888889
"596","July",1999,"Shark","Gambusia holbrooki",0.53420871,0.07631553
"597","October",1999,"Shark","Gambusia holbrooki",0.588443651111111,0.08406338
"598","April",2000,"Shark","Gambusia holbrooki",1.07585559571429,0.153693658571429
"599","December",2000,"Shark","Gambusia holbrooki",1.11611135111111,0.159444478888889
"600","February",2000,"Shark","Gambusia holbrooki",0.598561928888889,0.0855088466666667
"601","July",2000,"Shark","Gambusia holbrooki",0.659650527777778,0.09423579
"602","October",2000,"Shark","Gambusia holbrooki",0.596837756666667,0.0852625377777778
"603","April",2001,"Shark","Gambusia holbrooki",0.566561135,0.112877115
"604","December",2001,"Shark","Gambusia holbrooki",1.41264804777778,0.201806863333333
"605","February",2001,"Shark","Gambusia holbrooki",1.03214805833333,0.147449723333333
"606","July",2001,"Shark","Gambusia holbrooki",0.194588538888889,0.0277983644444444
"607","September",2001,"Shark","Gambusia holbrooki",0.641346233333333,0.09162089
"608","April",2002,"Shark","Gambusia holbrooki",1.42991440444444,0.204273486666667
"609","December",2002,"Shark","Gambusia holbrooki",0.971342447407407,0.138763207407407
"610","July",2002,"Shark","Gambusia holbrooki",0.297589391111111,0.0425127688888889
"611","October",2002,"Shark","Gambusia holbrooki",0.485153580555556,0.0693076544444444
"612","April",2003,"Shark","Gambusia holbrooki",0.617083202857143,0.0899450792857143
"613","December",2003,"Shark","Gambusia holbrooki",0.150030795384615,0.0214329707692308
"614","February",2003,"Shark","Gambusia holbrooki",0.616652340833333,0.0896008991666667
"615","July",2003,"Shark","Gambusia holbrooki",0.201029664375,0.028718524375
"616","October",2003,"Shark","Gambusia holbrooki",0.095047824,0.0135782606666667
"617","April",2004,"Shark","Gambusia holbrooki",0.0992075245454545,0.0141725036363636
"618","February",2004,"Shark","Gambusia holbrooki",0.184622526153846,0.0263746461538462
"619","July",2004,"Shark","Gambusia holbrooki",0.116743442,0.016677636
"620","October",2004,"Shark","Gambusia holbrooki",0.286415587333333,0.0409165126666667
"621","April",2005,"Shark","Gambusia holbrooki",0.258543612857143,0.0517087228571429
"622","February",2005,"Shark","Gambusia holbrooki",0.496931824666667,0.0709902593333333
"623","December",1996,"Taylor","Gambusia holbrooki",0.383410063076923,0.0547728653846154
"624","July",1996,"Taylor","Gambusia holbrooki",0.175463823076923,0.02506626
"625","May",1996,"Taylor","Gambusia holbrooki",0.1046115,0.0149444966666667
"626","October",1996,"Taylor","Gambusia holbrooki",0.222041208461538,0.0317201730769231
"627","April",1997,"Taylor","Gambusia holbrooki",0.369287205555556,0.0527553133333333
"628","December",1997,"Taylor","Gambusia holbrooki",0.260692477692308,0.03743928
"629","February",1997,"Taylor","Gambusia holbrooki",0.296896530909091,0.04241379
"630","July",1997,"Taylor","Gambusia holbrooki",0.103655754615385,0.0148450538461538
"631","October",1997,"Taylor","Gambusia holbrooki",0.289536133846154,0.0413623046153846
"632","April",1998,"Taylor","Gambusia holbrooki",0.23944407,0.0342153718181818
"633","December",1998,"Taylor","Gambusia holbrooki",0.351469493333333,0.0502099275
"634","February",1998,"Taylor","Gambusia holbrooki",0.20793088,0.0297671090909091
"635","July",1998,"Taylor","Gambusia holbrooki",0.134727996666667,0.0193276175
"636","October",1998,"Taylor","Gambusia holbrooki",0.183926611538462,0.0262752307692308
"637","April",1999,"Taylor","Gambusia holbrooki",0.255871515,0.04280047
"638","December",1999,"Taylor","Gambusia holbrooki",0.279605708461538,0.0399436723076923
"639","February",1999,"Taylor","Gambusia holbrooki",0.505751109230769,0.0722501576923077
"640","July",1999,"Taylor","Gambusia holbrooki",0.183360210909091,0.0261943154545455
"641","October",1999,"Taylor","Gambusia holbrooki",0.177050484615385,0.0252929253846154
"642","April",2000,"Taylor","Gambusia holbrooki",0.354614727142857,0.0533913814285714
"643","December",2000,"Taylor","Gambusia holbrooki",0.511189290769231,0.0730270423076923
"644","February",2000,"Taylor","Gambusia holbrooki",0.223516811666667,0.0319309725
"645","July",2000,"Taylor","Gambusia holbrooki",0.142856912307692,0.02040813
"646","October",2000,"Taylor","Gambusia holbrooki",0.270034443846154,0.0385763492307692
"647","April",2001,"Taylor","Gambusia holbrooki",0.109014225,0.029391515
"648","December",2001,"Taylor","Gambusia holbrooki",0.380237031538462,0.0543195761538462
"649","February",2001,"Taylor","Gambusia holbrooki",0.704815915,0.1006879875
"650","July",2001,"Taylor","Gambusia holbrooki",0.130385884166667,0.018626555
"651","September",2001,"Taylor","Gambusia holbrooki",0.155401654166667,0.0222002366666667
"652","April",2002,"Taylor","Gambusia holbrooki",0.502019005,0.071717
"653","December",2002,"Taylor","Gambusia holbrooki",0.0583113577777778,0.00833019444444444
"654","February",2002,"Taylor","Gambusia holbrooki",0.736773668888889,0.105253381111111
"655","July",2002,"Taylor","Gambusia holbrooki",0.0144616366666667,0.00206594833333333
"656","October",2002,"Taylor","Gambusia holbrooki",0.07713622125,0.01101946125
"657","April",2003,"Taylor","Gambusia holbrooki",0.017312454,0.003462492
"658","December",2003,"Taylor","Gambusia holbrooki",0.141265637777778,0.0201808055555556
"659","February",2003,"Taylor","Gambusia holbrooki",0.270610288,0.054122056
"660","July",2003,"Taylor","Gambusia holbrooki",0.0516209690909091,0.00737442454545455
"661","October",2003,"Taylor","Gambusia holbrooki",0.068434242,0.00977632
"662","April",2004,"Taylor","Gambusia holbrooki",0.28294776,0.05658955
"663","December",2004,"Taylor","Gambusia holbrooki",0.259805417777778,0.0371150577777778
"664","February",2004,"Taylor","Gambusia holbrooki",0.139644542857143,0.0279289085714286
"665","October",2004,"Taylor","Gambusia holbrooki",0.0685917627272727,0.00979882272727273
"666","April",2005,"Taylor","Gambusia holbrooki",0.120467843333333,0.0240935666666667
"667","February",2005,"Taylor","Gambusia holbrooki",0.147062484285714,0.0294124957142857
"668","February",2003,"Shark","Hemichromis bimaculatus",-9999,-9999
"669","April",1996,"Shark","Heterandria formosa",0.643302673333333,0.09190038
"670","December",1996,"Shark","Heterandria formosa",0.607399335555556,0.0867713333333333
"671","February",1996,"Shark","Heterandria formosa",0.518181502222222,0.0740259277777778
"672","July",1996,"Shark","Heterandria formosa",0.576294462222222,0.08232778
"673","October",1996,"Shark","Heterandria formosa",0.674257243333333,0.0963224622222222
"674","April",1997,"Shark","Heterandria formosa",0.556426331428571,0.0807568285714286
"675","December",1997,"Shark","Heterandria formosa",0.569910162222222,0.0814157377777778
"676","February",1997,"Shark","Heterandria formosa",0.657473271111111,0.0939247522222222
"677","July",1997,"Shark","Heterandria formosa",0.779100414444444,0.111300057777778
"678","October",1997,"Shark","Heterandria formosa",0.647867522222222,0.0925525033333333
"679","April",1998,"Shark","Heterandria formosa",0.541356915555556,0.0773367044444444
"680","December",1998,"Shark","Heterandria formosa",0.470923848888889,0.0672748377777778
"681","February",1998,"Shark","Heterandria formosa",0.480380863333333,0.0686258377777778
"682","July",1998,"Shark","Heterandria formosa",0.386865317777778,0.0552664733333333
"683","October",1998,"Shark","Heterandria formosa",0.522790886666667,0.0746844122222222
"684","April",1999,"Shark","Heterandria formosa",0.535142866666667,0.0865380244444444
"685","December",1999,"Shark","Heterandria formosa",0.625746904444444,0.0893924155555555
"686","February",1999,"Shark","Heterandria formosa",0.534587535555556,0.0763696488888889
"687","July",1999,"Shark","Heterandria formosa",0.535938618888889,0.0765626611111111
"688","October",1999,"Shark","Heterandria formosa",0.650216518888889,0.0928880744444444
"689","April",2000,"Shark","Heterandria formosa",0.444028217142857,0.0634326014285714
"690","December",2000,"Shark","Heterandria formosa",0.668287071111111,0.0954695811111111
"691","February",2000,"Shark","Heterandria formosa",0.555560558888889,0.0793657944444444
"692","July",2000,"Shark","Heterandria formosa",0.389563745555556,0.0556519633333333
"693","October",2000,"Shark","Heterandria formosa",0.698891605555556,0.0998416577777778
"694","April",2001,"Shark","Heterandria formosa",1.00511008,0.14358715
"695","December",2001,"Shark","Heterandria formosa",0.112537395,0.01607677
"696","February",2001,"Shark","Heterandria formosa",0.30490348,0.0435576383333333
"697","July",2001,"Shark","Heterandria formosa",0.054961585,0.0078516575
"698","September",2001,"Shark","Heterandria formosa",0.06296782,0.00899540285714286
"699","April",2002,"Shark","Heterandria formosa",0.14127951,0.0201827877777778
"700","December",2002,"Shark","Heterandria formosa",0.10920722875,0.0156010329166667
"701","July",2002,"Shark","Heterandria formosa",0.06782852,0.009689788
"702","October",2002,"Shark","Heterandria formosa",0.126171490769231,0.0180245
"703","April",2003,"Shark","Heterandria formosa",0.107398981538462,0.0163862307692308
"704","December",2003,"Shark","Heterandria formosa",0.150051253333333,0.0214358933333333
"705","February",2003,"Shark","Heterandria formosa",0.0619015407692308,0.0239877138461538
"706","July",2003,"Shark","Heterandria formosa",0.170284184285714,0.0243263121428571
"707","October",2003,"Shark","Heterandria formosa",0.204690722666667,0.0292415306666667
"708","April",2004,"Shark","Heterandria formosa",0.0935964854545454,0.0133709263636364
"709","April ",2004,"Shark","Heterandria formosa",0.03469836,0.00495691
"710","February",2004,"Shark","Heterandria formosa",0.144000873571429,0.0205715542857143
"711","July",2004,"Shark","Heterandria formosa",0.0680211566666667,0.00971730666666667
"712","October",2004,"Shark","Heterandria formosa",0.141405754,0.0202008206666667
"713","April",2005,"Shark","Heterandria formosa",0.054849215,0.01096984375
"714","February",2005,"Shark","Heterandria formosa",0.0952484806666667,0.0136069266666667
"715","December",1996,"Taylor","Heterandria formosa",0.300884567272727,0.04298351
"716","July",1996,"Taylor","Heterandria formosa",0.171364252,0.024480606
"717","October",1996,"Taylor","Heterandria formosa",0.217003149090909,0.03100045
"718","April",1997,"Taylor","Heterandria formosa",0.202140013333333,0.0288771433333333
"719","December",1997,"Taylor","Heterandria formosa",0.165116605384615,0.0237826953846154
"720","February",1997,"Taylor","Heterandria formosa",0.252373449,0.03605335
"721","July",1997,"Taylor","Heterandria formosa",0.132403393,0.018914769
"722","October",1997,"Taylor","Heterandria formosa",0.223413085454545,0.0319161554545455
"723","April",1998,"Taylor","Heterandria formosa",0.1831015275,0.0264145175
"724","December",1998,"Taylor","Heterandria formosa",0.342389645384615,0.0489128061538462
"725","February",1998,"Taylor","Heterandria formosa",0.193870509166667,0.027809315
"726","July",1998,"Taylor","Heterandria formosa",0.17608172,0.0253746907692308
"727","October",1998,"Taylor","Heterandria formosa",0.257626329230769,0.0368037623076923
