Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
June,2004,Taylor,1.4,0.276,0.199,0.077,0.829,26.394,1.104,25.29,0.115,0.029,0.336,712.896,38.27,38.18,30.63,30.52,3.27,3.22,0.72,8.04
May,2004,Taylor,1.4,1.56,1.269,0.291,3.472,44.15,5.032,39.118,0.202,0.016,1.364,877.917,28.23,28.19,28.08,28.08,4.44,4.24,10.68,8.19
August,1997,Taylor,1.4,5.545,4.995,0.55,8.528,67.731,14.073,53.659,0.3,0.035,0.291,1008.958,1.2,2.6,31.9,32,6.7,6.8,3.6,-9999
August,1998,Taylor,1.4,2.405,2.118,0.288,6.01,78.36,8.415,69.945,0.158,0.02,0.435,1228.958,11.4,11.7,31.9,31.9,2.6,2.5,2.35,-9999
April,2001,Taylor,1.4,1.718,1.465,0.253,2.89,29.025,4.608,24.418,0.225,0.035,0.216,746.646,26.6,26.6,26.5,26.5,6.6,6.5,1.84,-9999
October,2002,Taylor,1.4,1.321,1.288,0.033,0.727,20.652,2.049,18.603,0.387,0.186,0.253,812.521,9.15,9.14,25.29,25.29,5.34,7.12,5.48,8.14
July,2002,Taylor,1.4,2.763,2.532,0.231,6.741,13.625,9.504,4.12,0.3,0.109,0.45,736.729,1,1.01,27.83,27.82,3.21,3.19,5.04,8.22
April,2003,Taylor,1.4,1.846,1.621,0.225,8.511,38.392,10.357,28.035,0.412,0.257,0.74,1014.792,18.21,19.2,25.91,25.93,3.73,3.73,3.93,7.99
June,1997,Taylor,1.4,2.803,2.685,0.118,12.063,55.132,14.865,40.267,0.25,0.048,1.245,818.667,13.5,21.9,27.6,27,6.6,6.6,1.45,-9999
September,1996,Taylor,1.4,1.87,1.698,0.173,4.495,73.24,6.365,66.875,0.333,0.133,2.968,1001.458,1.6,1.9,30.3,29.9,6.3,6.3,5.3,-9999
June,2002,Taylor,1.4,0.411,0.275,0.137,3.517,32.769,3.929,28.841,0.213,0.023,0.873,711.313,33.1,32.95,29.35,29.37,5.63,5.69,4.81,8.46
April,2004,Taylor,1.4,0.987,0.881,0.106,2.607,59.339,3.594,55.746,0.159,0.017,0.526,706.646,27.36,27.37,26.3,26.31,5.58,5.49,2.48,8.4
August,2003,Taylor,1.4,1.27,1.055,0.215,1.848,39.341,3.117,36.224,0.177,0.079,1.868,914.792,7.13,7.17,31.89,31.84,5.31,5.36,4.26,8.14
December,2004,Taylor,1.4,2.2,1.446,0.754,8.245,20.508,10.445,10.063,0.342,0.065,0.807,928.542,11.99,11.95,17.35,17.31,3.76,3.13,4.11,8.26
September,2000,Taylor,1.4,6.821,6.149,0.672,4.309,38.262,11.129,27.133,0.163,0.218,0.682,881.458,2.8,2.8,28.9,29,1.9,1.9,7.18,-9999
January,1999,Taylor,1.4,0.73,0.633,0.098,1.248,41.204,1.978,39.227,0.33,0.17,1.364,917.708,9.9,17,21.8,22.6,4,3.9,5.29,-9999
August,2004,Taylor,1.4,2.857,2.543,0.313,9.389,68.619,12.245,56.374,0.366,0.11,0.403,1072.083,16.08,18.47,31.39,32.04,3.64,3.7,0.89,8.05
July,1997,Taylor,1.4,2.955,2.4,0.555,10.068,77.325,13.023,64.303,0.34,0.028,0.712,1059.792,1.2,1.2,31,31,5.9,6,7,-9999
October,2003,Taylor,1.4,1.728,1.532,0.196,1.8,26.977,3.529,23.449,0.306,0.005,1.917,763.771,0.43,0.43,27.73,27.72,5.11,5.05,2.35,8.48
January,2000,Taylor,1.4,1.284,1.238,0.046,0.584,41.318,1.868,39.45,0.269,0.157,1.004,721.792,13.1,13.5,21.2,21.2,5.1,5.1,4.68,-9999
December,1999,Taylor,1.4,1.475,1.325,0.15,2.34,49.396,3.815,45.581,0.185,0.063,2.285,896.25,0.9,0.9,18.2,18.3,9.4,9.3,2.75,-9999
June,1999,Taylor,1.4,0.42,0.168,0.253,4.6,58.799,5.02,53.779,0.163,0.013,0.421,884.792,36.9,36.9,30.1,30.1,7.2,7.2,0.76,-9999
December,2000,Taylor,1.4,2.274,2.133,0.141,1.408,20.87,3.682,17.188,0.228,0.126,0.619,739.917,12.4,12.4,24.4,24.4,6.6,6.6,2.23,-9999
March,1998,Taylor,1.4,4.3,3.963,0.338,3.085,51.065,7.385,43.68,0.336,0.035,1.991,754.104,2.8,2.8,24.4,24.5,7.6,7.6,27.75,-9999
December,2002,Taylor,1.4,1.216,1.16,0.056,2.403,23.435,3.62,19.816,0.299,0.232,1.128,646.333,12.27,21.54,25.33,25.84,5.99,7.01,4.55,8.1
February,2003,Taylor,1.4,1.094,0.967,0.127,3.22,43.42,4.314,39.106,0.269,0.196,0.644,716.563,21.54,21.66,24.88,24.63,7.31,6.43,7.89,7.66
March,2000,Taylor,1.4,1.783,1.748,0.035,0.895,35.007,2.678,32.33,0.199,0.075,2.335,908.333,8.9,9.5,26.9,26.7,4,3.9,2.97,-9999
June,2000,Taylor,1.4,1.398,1.372,0.026,1.802,33.473,3.201,30.273,0.317,0.05,0.783,1206.458,13.4,16.1,30.8,31.1,4.6,4.5,3.52,-9999
November,1996,Taylor,1.4,1.663,1.475,0.188,2.393,48.897,4.055,44.842,0.37,0.053,2.849,868.333,0.9,1,27.6,27.3,7.2,7.2,8.65,-9999
January,2004,Taylor,1.4,0.68,0.46,0.22,1.895,27.319,2.576,24.743,0.164,0.027,0.601,718.354,10.76,10.83,19.01,18.95,7.65,7.81,2.71,8.3
July,1996,Taylor,1.4,1.213,0.92,0.293,4.18,60.848,5.393,55.455,0.528,0.095,1.673,993.542,1.9,2,31.1,31,7,7.1,4.77,-9999
February,2000,Taylor,1.4,1.624,1.534,0.09,0.886,35.771,2.511,33.26,0.533,0.108,1.529,971.25,3.7,3.8,23.9,23.9,4.7,4.6,3.77,-9999
December,2000,Taylor,1.4,2.073,1.98,0.093,1.64,36.401,3.713,32.689,0.215,0.125,0.633,921.042,8.3,8.3,21.3,21.3,4.7,4.5,3.61,-9999
February,2004,Taylor,1.4,0.771,0.626,0.145,1.614,32.432,2.385,30.047,0.162,0.034,0.302,602.146,23,22.51,26.59,26.44,3.89,3.77,2.67,7.95
December,2005,Taylor,1.4,1.21,1.019,0.191,4.061,21.44,5.271,16.169,0.904,0.018,2.806,823.708,6.81,8.02,21.84,21.64,8.25,8.27,6.45,8.32
April,2005,Taylor,1.4,1.187,0.841,0.346,3.337,42.542,4.524,38.018,0.159,0.056,0.538,886.667,36.29,36.14,23.41,23.52,3.62,3.52,1.73,8.06
February,1999,Taylor,1.4,0.598,0.518,0.08,1.138,50.056,1.735,48.321,0.22,0.023,1.05,836.667,14.5,14.5,25.1,25.1,7.7,7.6,3.81,-9999
December,1998,Taylor,1.4,2.32,2.235,0.085,2.098,59.619,4.418,55.202,0.388,0.075,1.318,869.167,2.7,2.7,24.3,24.3,6.8,6.6,6.27,-9999
November,2005,Taylor,1.4,1.584,1.29,0.294,4.724,33.785,6.308,27.477,0.333,0.017,2.788,701.271,3.81,3.54,24.89,24.91,8.54,8.56,8.36,8.29
March,2002,Taylor,1.4,0.141,0.123,0.018,0.307,20.296,0.448,19.848,0.468,0.028,2.641,742.646,15.32,15.61,25.87,25.85,6.44,6.76,8.9,-9999
February,1998,Taylor,1.4,2.733,2.51,0.223,2.54,41.034,5.273,35.762,0.477,0.032,1.418,698.458,3,3,24.8,24.8,8.8,9.1,14.45,-9999
May,2003,Taylor,1.4,2.481,2.309,0.173,8.139,36.875,10.62,26.255,0.194,0.248,0.924,767.083,18.68,18.63,29.32,29.29,6.44,6.43,3.03,8.06
September,1998,Taylor,1.4,2.845,2.47,0.375,3.078,41.333,5.923,35.41,0.304,0,1.351,716.521,0.5,0.6,29.4,29,6.1,5.9,24.8,-9999
July,2001,Taylor,1.4,0.433,0.18,0.253,3.988,40.695,4.42,36.275,0.188,0.043,0.28,713.417,38.6,38.6,31.5,31.4,6.7,6.7,4.87,-9999
February,2005,Taylor,1.4,1.146,0.707,0.439,9.413,31.234,10.559,20.675,0.132,0.022,0.538,890.208,32.5,33.02,22.45,22.4,6.66,6.65,1.98,8
May,1997,Taylor,1.4,1.44,1.153,0.288,5.448,53.961,6.888,47.074,0.183,0,0.433,857.083,30.3,30.3,30.3,30.4,3,3,1.5,-9999
October,2005,Taylor,1.4,2.516,2.183,0.333,5.63,20.593,8.146,12.447,0.945,0.04,0.842,635.292,3.36,15.22,28.87,29.71,6.98,5.47,2.51,8.14
August,2000,Taylor,1.4,3.51,2.972,0.538,4.6,29.319,8.109,21.21,0.378,0.252,0.6,1061.667,7.7,8.1,29,28.6,4.3,3.7,5.32,-9999
July,2005,Taylor,1.4,1.178,0.833,0.345,7.755,32.503,8.934,23.57,0.23,0.105,0.668,950.833,5.8,5.76,31.49,31.46,7.58,7.63,2.6,8.34
July,2000,Taylor,1.4,2.408,2.348,0.06,2.645,35.06,5.053,30.007,0.356,0.141,0.404,1062.292,20.7,20.7,32.3,32.3,4.6,4.6,3.26,-9999
January,2002,Taylor,1.4,0.093,0.048,0.044,0.427,29.028,0.52,28.508,0.43,0.008,3.302,855,3.85,3.88,25.83,25.81,9.3,9.6,25.05,-9999
June,1998,Taylor,1.4,1.333,1.13,0.203,5.775,56.681,7.108,49.573,0.195,0.058,1.013,904.792,17.6,17.6,31.5,31.6,6.9,7,1.65,-9999
October,2001,Taylor,1.4,0.788,0.55,0.238,5.847,21.054,6.634,14.419,0.075,0.032,0.821,600.021,0.4,0.4,29,28.8,5.1,5.3,4.33,-9999
February,1997,Taylor,1.4,0.255,0.193,0.063,0.185,49.281,0.44,48.841,0.345,0.063,1.611,856.667,13.9,18.2,24.7,25.1,7.5,7.3,3.95,-9999
November,2003,Taylor,1.4,0.985,0.838,0.147,1.241,42.222,2.225,39.996,0.2,0.071,1.205,791.708,5.51,5.6,25.36,25.37,6.84,6.8,3.54,8.35
November,2002,Taylor,1.4,1.346,1.308,0.037,1.013,59.056,2.359,56.697,0.375,0.107,1.701,-9999,9.85,9.84,23.36,23.38,6.88,7.45,4.3,8.2
July,2003,Taylor,1.4,2.965,2.688,0.278,5.354,38.648,8.319,30.329,0.221,0.219,1.038,882.5,4.16,4.17,30.38,30.38,5.71,5.74,6.61,8.29
November,1997,Taylor,1.4,0.78,0.61,0.17,3.088,59.437,3.868,55.569,0.385,0,1.899,763.583,10.5,10.6,25.1,25.2,5.9,6.2,10.65,-9999
October,1996,Taylor,1.4,2.458,2.22,0.238,3.79,54.746,6.248,48.498,0.315,0.06,1.212,797.854,3.7,3.7,24.2,24.2,7.6,7.5,4.95,-9999
November,2001,Taylor,1.4,1.508,1.465,0.043,1.486,13.069,2.994,10.075,0.173,0.009,0.744,626.104,0.8,0.8,23.3,23.3,6.4,6.6,4.8,-9999
August,1999,Taylor,1.4,2.16,1.79,0.37,6.833,57.222,8.993,48.229,0.31,0.025,0.26,1011.875,4.9,5.6,29.7,30,3.4,3.4,2.53,-9999
August,1996,Taylor,1.4,1.145,1.028,0.118,1.53,66.345,2.675,63.67,0.525,0.115,2.847,963.75,7.2,7.2,28.6,28.6,1.8,1.8,7.25,-9999
January,1998,Taylor,1.4,2.525,2.385,0.14,6.243,51.434,8.768,42.666,0.475,0.065,1.286,773.438,2.9,3.3,21.8,21.3,7.8,7.9,3.7,-9999
March,2003,Taylor,1.4,1.045,0.95,0.095,5.938,45.5,6.983,38.516,0.152,0.104,0.774,684.333,25.7,26,28.26,28.33,5.24,5.31,4.73,7.94
April,1999,Taylor,1.4,0.413,0.223,0.19,3.78,52.105,4.193,47.912,0.358,0.003,0.535,873.125,54.3,54.3,27.8,27.9,3.4,3.4,4.92,-9999
September,1997,Taylor,1.4,2.695,2.445,0.25,3.485,55.558,6.18,49.378,0.39,0.043,0.872,823.833,0.6,0.6,29.3,29.3,6.7,6.7,1.8,-9999
November,1998,Taylor,1.4,3.468,3.12,0.348,4.308,59.208,7.775,51.433,0.2,0.205,1.098,902.5,15.1,24.6,26.1,27.3,6.4,6.8,2.25,-9999
July,1999,Taylor,1.4,3.345,2.15,1.195,17.305,69.487,20.65,48.837,0.434,0.228,0.739,1173.542,13.8,13.7,30.6,30.6,7.8,7.2,1.33,-9999
September,2004,Taylor,1.4,2.471,1.966,0.506,5.854,37.005,8.325,28.68,0.196,0.052,0.914,932.083,24.01,34.35,30.62,29.94,2.54,2.5,4.03,7.8
May,1998,Taylor,1.4,1.62,1.393,0.228,1.893,57.631,3.513,54.119,0.25,0.085,1.176,852.292,15.9,15.9,28.8,29,6.5,6.7,3.8,-9999
February,2002,Taylor,1.4,0.673,0.503,0.17,1.839,47.891,2.511,45.379,0.3,0.004,2.083,778.917,8.8,8.88,18.71,18.7,5.9,4.49,22.52,-9999
May,2002,Taylor,1.4,0.095,0.078,0.017,0.85,33.103,0.945,32.158,0.438,0.008,1.031,840.958,25.87,25.92,29.21,29.18,5.64,5.68,7.08,8.08
November,2004,Taylor,1.4,1.881,1.319,0.562,9.084,25.2,10.964,14.235,0.286,0.045,0.949,856.063,12.36,25.25,23.21,25.03,5.3,4.8,3.82,8.12
May,2005,Taylor,1.4,0.626,0.449,0.177,1.637,39.797,2.263,37.534,0.522,0.059,0.233,629.688,44.97,44.95,29.22,29.16,3.67,3.51,2.76,8.11
February,2001,Taylor,1.4,1.038,1.033,0.005,0.94,37.795,1.978,35.818,0.382,0.075,0.245,896.25,25.5,25.5,24.9,24.9,7,7.6,5.64,-9999
January,1997,Taylor,1.4,1.245,1.235,0.01,1.07,37.353,2.315,35.038,0.283,0.033,1.435,815.854,16.9,22.5,25.4,26.6,7.1,6.2,7.95,-9999
August,2005,Taylor,1.4,2.621,1.741,0.88,6.439,33.333,9.06,24.272,0.219,0.03,1.178,820.375,4.34,4.36,32.5,32.53,7.07,6.73,1.95,8.23
December,2003,Taylor,1.4,0.319,0.243,0.077,0.915,39.805,1.234,38.571,0.337,0.02,2.056,779.646,1.78,1.78,19.46,19.46,7.94,8.04,13.04,8.58
April,1997,Taylor,1.4,0.503,0.35,0.153,2.318,35.027,2.82,32.207,0.263,0.015,1.25,767.104,28.1,28,27.6,27.6,6.7,6.7,3.25,-9999
August,2002,Taylor,1.4,3.366,3.331,0.036,3.376,67.119,6.743,60.377,0.171,0.103,2.104,982.917,0.88,0.89,30.21,30.2,6.87,6.82,6.49,8.42
March,1996,Taylor,1.4,2.625,2.258,0.368,3.68,56.726,6.305,50.421,0.303,0.043,0.943,796.917,17.1,17.1,20.4,20.4,6.8,6.4,11.45,-9999
May,2000,Taylor,1.4,0.463,0.438,0.025,0.675,42.828,1.138,41.691,0.41,0.073,1.148,831,27.7,27.7,28.5,28.5,3.2,3.5,2.79,-9999
May,1996,Taylor,1.4,0.08,0.033,0.048,0.415,76.462,0.495,75.967,0.623,0.008,2.19,1114.375,22.2,22,27.2,27.2,7.1,7.1,7.65,-9999
September,2002,Taylor,1.6,1.295,0.979,0.316,6.149,48.367,7.444,40.924,0.695,0.173,1.134,814.542,11.13,11.15,30,30.03,5.92,5.95,7.97,8.37
March,1999,Taylor,1.6,0.758,0.658,0.1,0.838,46.44,1.595,44.845,0.108,0.005,0.22,830.146,25.8,25.9,25.2,25.3,6,6.3,2.38,-9999
June,1997,Taylor,1.6,2.275,2.063,0.213,2.758,41.388,5.033,36.355,0.28,0.033,0.741,867.5,13.1,24.1,28.9,26.8,6.3,5.8,6.15,-9999
September,2005,Taylor,1.6,1.764,1.587,0.177,14.439,38.682,16.203,22.48,0.266,0.115,1.519,1000.625,23.21,28.97,30.66,30.16,6.06,7.71,3.72,7.91
September,1998,Taylor,1.6,0.438,0.328,0.11,3.75,53.767,4.188,49.579,0.195,0.07,0.577,996.875,14,14.8,28.5,28.3,6.2,6.3,7.04,-9999
March,1998,Taylor,1.6,2.71,2.41,0.3,1.173,44.095,3.883,40.212,0.152,0.017,0.401,672.521,9.4,9.5,26.1,26.1,7.6,7.6,27.6,-9999
May,1997,Taylor,1.6,3.7,3.03,0.67,5.46,50.39,9.16,41.23,0.123,0,0.417,704.417,28.6,28.6,29.6,29.6,6.1,6,10.45,-9999
November,2002,Taylor,1.6,1.274,1.241,0.033,1.222,63.677,2.496,61.181,0.366,0.15,0.679,-9999,15.3,15.51,22.15,22.11,6.25,6.27,3.26,8.18
June,2002,Taylor,1.6,0.139,0.055,0.085,1.673,36.392,1.812,34.581,0.409,0.019,0.256,716.458,31.87,31.88,30.75,30.78,5,4.98,2.77,8.5
October,1999,Taylor,1.6,1.131,0.952,0.179,34.83,47.663,35.961,11.702,0.263,0.168,1.56,686.813,15.9,16,23.7,23.7,4.4,4.6,5.36,-9999
July,2002,Taylor,1.6,1.163,1.012,0.151,7.473,15.263,8.637,6.626,0.311,0.151,0.491,787.438,15.5,15.59,28.77,28.91,4.08,3.98,4.92,8.17
December,2004,Taylor,1.6,1.012,0.672,0.341,3.384,15.637,4.397,11.241,0.306,0.024,0.435,970.625,26.41,25.76,17.37,17.27,5.17,5.05,3.79,8.2
June,1996,Taylor,1.6,2.385,1.823,0.563,8.34,71.855,10.725,61.13,0.185,0.015,0.545,965.625,25.1,25.3,30,29,7.1,7.1,11.85,-9999
April,2003,Taylor,1.6,0.66,0.573,0.086,1.547,33.528,2.206,31.322,0.173,0.11,0.663,913.958,26.8,26.89,26.05,26.04,5.77,5.75,5.57,8.13
February,1996,Taylor,1.6,1.048,0.845,0.203,2.138,51.874,3.185,48.689,0.265,0.003,0.62,960.208,14,15.3,16.8,17,5.1,5,14.1,-9999
January,2002,Taylor,1.6,0.301,0.247,0.054,1.897,28.62,2.198,26.422,0.265,0.057,0.431,677.125,16.72,16.72,26.52,26.58,7.1,6.3,3.15,-9999
September,2000,Taylor,1.6,1.543,1.42,0.123,8.085,38.367,9.628,28.739,0.198,0.144,0.334,1055.208,22.9,22.8,31.2,31.4,5.3,5.2,1.44,-9999
August,2001,Taylor,1.6,0.483,0.22,0.263,5.105,45.819,5.588,40.231,0.163,0.063,0.306,838.188,29,30.9,31.7,31.7,6.5,6.5,1.78,-9999
December,2001,Taylor,1.6,1.306,0.86,0.447,4.413,33.953,5.719,28.235,0.129,0.05,0.559,585.333,15.7,15.9,25,24.9,8.1,6.4,6.83,-9999
April,1996,Taylor,1.6,2.713,2.355,0.358,2.3,55.915,5.013,50.902,0.368,0.078,1.104,768.375,20.9,20.8,27.3,27.3,6,6,10.35,-9999
June,2000,Taylor,1.6,0.716,0.715,0.001,0.422,28.325,1.138,27.186,0.256,0.063,0.241,854.292,25.7,25.6,30.6,30.6,2.9,2.9,2.8,-9999
February,2004,Taylor,1.6,0.822,0.707,0.115,3.443,55.957,4.265,51.691,0.11,0.05,0.503,724.979,19.27,19.49,25.72,25.78,5.7,6.85,3.48,7.98
March,2000,Taylor,1.6,1.366,1.256,0.11,2.587,24.847,3.953,20.894,0.105,0.073,1.044,729.292,16,16.7,25.4,25.6,5.7,5.7,5.33,-9999
June,2005,Taylor,1.6,0.665,0.578,0.087,0.678,50.131,1.343,48.788,0.118,0.099,0.154,633.104,47.08,47.14,30.61,30.71,5.92,6.17,5.15,8.26
June,2004,Taylor,1.6,0.246,0.13,0.116,0.746,36.261,0.992,35.269,0.082,0.034,0.395,722.104,39.52,39.41,30.69,30.69,5.48,5.28,3.78,8.1
September,1996,Taylor,1.6,2.435,2.038,0.398,4.005,71.123,6.44,64.683,0.245,0.07,0.884,1120.417,19.2,19.2,30.5,30.5,6.4,6.5,9.95,-9999
July,2001,Taylor,1.6,0.15,0.03,0.12,0.37,36.42,0.52,35.9,0.153,0.005,0.182,783.729,37.4,37.4,30.9,30.8,5.5,5.9,3.28,-9999
October,1996,Taylor,1.6,1.933,1.438,0.495,15.253,77.461,17.185,60.276,0.255,0.003,2.008,875.625,18.5,18.6,25,25,6.7,6.7,17.2,-9999
January,1999,Taylor,1.6,0.28,0.218,0.063,1.238,34.269,1.518,32.752,0.203,0.12,0.363,797.771,21.6,21.6,21.6,21.6,7.1,7.1,4.75,-9999
November,2000,Taylor,1.6,1.233,1.005,0.228,3.988,46.409,5.22,41.189,0.165,0.085,0.386,920.833,18.7,18.8,20.9,20.9,5.7,5.6,4.23,-9999
May,2005,Taylor,1.6,0.798,0.718,0.08,1.109,49.83,1.907,47.924,0.223,0.088,0.225,786.688,47.32,46.73,28.39,28.46,4.97,4.97,2.48,8.06
September,2001,Taylor,1.6,0.724,0.674,0.05,1.169,20.258,1.893,18.365,0.158,0.055,0.271,1043.333,21,22.8,30.8,30.5,6,5.9,4.65,-9999
December,1999,Taylor,1.6,2.153,1.345,0.808,8.765,50.941,10.918,40.024,0.188,0.085,2.573,747.042,11.6,12,18.3,18.5,9,8.9,9.22,-9999
April,2000,Taylor,1.6,1.095,1.019,0.076,2.226,40.087,3.321,36.766,0.378,0.039,0.218,788.667,18.3,19.9,27,27.1,6.6,6.5,1.89,-9999
January,2005,Taylor,1.6,1.206,0.133,1.074,6.009,30.647,7.216,23.431,0.128,0,0.225,895.208,31.89,34.36,15.08,15.72,4.66,4.69,2.65,8.27
March,2002,Taylor,1.6,0.117,0.101,0.016,0.369,19.319,0.486,18.833,0.199,0.03,0.234,652.167,20.5,20.42,26.68,26.67,4.33,4.13,5.98,-9999
June,1998,Taylor,1.6,0.845,0.68,0.165,3.448,53.626,4.293,49.334,0.138,0.025,0.726,819.396,22.4,22.6,30.7,30.3,6.3,6.4,8.25,-9999
May,1999,Taylor,1.6,0.67,0.588,0.083,1.618,55.898,2.288,53.61,0.163,0.038,0.251,951.667,33,33.2,30.3,30.6,4.9,4.7,2.29,-9999
December,1997,Taylor,1.6,1.533,1.383,0.15,2.09,40.467,3.623,36.844,0.278,0.065,0.377,687.208,14.8,15.6,24.8,22.8,6.5,6.8,4.25,-9999
July,1999,Taylor,1.6,0.54,0.335,0.205,5.365,55.242,5.905,49.337,0.345,0.055,0.789,896.458,31.3,31.2,30.1,30.2,6.5,6.2,5.8,-9999
August,1997,Taylor,1.6,4.015,3.355,0.66,5.325,56.537,9.34,47.197,0.235,0.033,0.946,837.375,10.1,12,31.6,31.8,5.8,4.8,10.35,-9999
May,2004,Taylor,1.6,0.385,0.197,0.189,1.144,36.327,1.529,34.797,0.07,0.044,0.146,635.188,34.37,34.4,27.5,27.58,5.87,5.83,17.13,8.13
January,2000,Taylor,1.6,1.142,1.056,0.086,0.666,38.928,1.808,37.12,0.237,0.18,0.983,692.875,15.8,15.9,20.9,20.9,5.2,5.7,8.87,-9999
December,2002,Taylor,1.6,0.954,0.901,0.054,2.162,19.748,3.116,16.631,0.287,0.289,0.25,639.417,20.65,20.64,24.45,24.45,6.94,6.33,3.18,8.15
December,1998,Taylor,1.6,1.285,1.243,0.043,0.85,50.059,2.135,47.924,0.418,0.025,0.607,767.604,15,16.9,26.1,26.5,7.2,7.1,3.7,-9999
March,2001,Taylor,1.6,1.263,0.98,0.283,4.618,44.035,5.88,38.155,0.51,0.083,0.161,798.958,26,25.9,20.5,20.5,6.4,6.4,7.92,-9999
January,2003,Taylor,1.6,0.857,0.735,0.122,0.925,24.426,1.782,22.645,0.116,0.061,0.144,702.75,22.87,22.89,14.96,14.95,6.91,6.99,2.63,8.23
July,2004,Taylor,1.6,0.645,0.464,0.181,5.609,38.583,6.254,32.328,0.081,0.028,0.743,703.979,39.25,39.28,29.97,29.94,3.32,3.41,1.78,8.11
April,2005,Taylor,1.6,0.395,0.302,0.092,1.003,39.237,1.398,37.839,0.157,0.049,0.162,823.875,43.2,43.2,23.35,23.35,5.1,4.95,3.97,8.2
October,1997,Taylor,1.6,2.395,2.013,0.383,5.103,59.231,7.498,51.733,0.263,0,0.459,770.771,14.5,20,23.8,25.2,5.1,5.2,5.9,-9999
July,1998,Taylor,1.6,0.343,0.238,0.105,1.82,56.576,2.163,54.414,0.128,0.008,0.491,961.667,26.8,28.8,29.7,30.1,6.4,6.4,4.3,-9999
August,1999,Taylor,1.6,0.775,0.598,0.178,2.553,56.033,3.328,52.706,0.278,0,0.639,1179.792,28.2,28.8,31.7,30.9,3.6,4.4,5.06,-9999
May,2003,Taylor,1.6,1.316,1.126,0.19,5.927,34.838,7.243,27.595,0.105,0.149,0.441,668.542,22.69,25.71,28.63,28.23,6.06,6.23,10.89,8.16
November,2001,Taylor,1.6,1.186,0.961,0.226,8.851,23.702,10.037,13.665,0.192,0.009,0.517,632.708,13.6,13.6,21.8,21.8,7.4,7.6,19.15,-9999
October,2002,Taylor,1.6,2.349,2.097,0.252,4.114,23.679,6.463,17.216,0.424,0.187,0.929,878.542,13.05,16.15,26.27,27.41,5.63,5.66,5.77,8.19
June,1999,Taylor,1.6,0.253,0.13,0.123,6.663,73.123,6.915,66.208,0.166,0.03,0.407,1080.542,33.5,33.6,30,30.3,6.1,6.1,2.34,-9999
December,2000,Taylor,1.6,1.306,1.095,0.211,3.086,23.929,4.392,19.538,1.146,0.091,0.207,802.542,22.3,22.4,22.2,22.3,7.1,7.1,4.44,-9999
February,2000,Taylor,1.6,0.947,0.897,0.05,1.491,34.301,2.438,31.863,0.217,0.113,0.842,656.354,16.3,16.3,24.4,24.4,3.5,3.4,7.25,-9999
July,2000,Taylor,1.6,1.85,1.85,0,1.668,23.983,3.518,20.465,0.298,0.114,0.316,1004.792,29.9,29.9,33.2,33.2,4,4,2.51,-9999
April,1998,Taylor,1.6,0.878,0.653,0.225,1.323,43.718,2.2,41.518,0.158,0.053,0.424,650.667,14.2,14.2,22.6,22.6,6.5,6.3,17.85,-9999
January,1996,Taylor,1.6,1.243,1.213,0.03,1.813,50.973,3.055,47.918,0.335,0.043,0.438,772.125,13.3,13.4,22.2,21.8,7.9,7.9,14.85,-9999
April,2004,Taylor,1.6,0.768,0.654,0.114,2.348,63.736,3.116,60.621,0.092,0.031,0.261,665.167,25.77,25.73,25.86,25.85,6.1,5.87,9.97,8.46
December,2003,Taylor,1.6,0.979,0.723,0.256,2.946,40.06,3.925,36.136,0.304,0.048,0.472,675.729,12.82,12.77,19.64,19.65,7.38,7.49,16.04,8.36
November,2005,Taylor,1.6,1.946,1.703,0.243,11.392,32.307,13.339,18.968,0.339,0.114,0.859,546.854,17.03,17.03,24.64,24.58,7.42,7.53,12.83,8.08
February,1997,Taylor,1.6,0.698,0.45,0.248,2.67,44.861,3.368,41.493,0.195,0.02,0.385,681.229,19.7,20.2,24,24,6.6,6,37.25,-9999
May,1996,Taylor,1.6,1.19,0.983,0.208,3.9,65.917,5.09,60.827,0.263,0.013,0.989,764.063,23.6,23.7,26.7,26.7,6.8,6.9,39.7,-9999
August,2003,Taylor,1.6,0.509,0.404,0.106,2.946,37.474,3.455,34.019,0.16,0.061,0.917,920.417,17.65,18.64,31.78,31.27,5.86,5.82,5.72,8.12
September,2004,Taylor,1.6,0.697,0.434,0.264,16.94,42.622,17.637,24.985,0.116,0.038,0.787,1013.75,32.21,37.34,30.56,29.86,3.34,3.26,5.8,7.88
July,1997,Taylor,1.6,5.15,4.283,0.868,5.645,62.772,10.795,51.977,0.278,0.015,0.757,777.5,15.8,16.4,30.1,30.2,5.6,5.6,23.95,-9999
October,2001,Taylor,1.6,0.33,0.26,0.07,3.688,28.532,4.018,24.515,0.138,0.037,1.099,847.708,8.9,14.9,27.8,27.8,6.8,6.9,13.32,-9999
January,2004,Taylor,1.6,0.304,0.195,0.11,6.141,33.163,6.445,26.718,0.148,0.013,0.181,711.042,18.31,18.63,19.22,19.33,7.05,7.05,3.35,8.26
December,1996,Taylor,1.6,4.968,3.92,1.048,8.37,53.33,13.338,39.992,0.253,0.005,1.131,686.75,16.1,16.9,23.8,23.7,6.8,6.8,11.9,-9999
