"","Month","Year","Area","SpeciesName","CommonName","ThermalGuild","TotalSpeciesWeight","SpeciesBiomass"
"283","July",1998,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.629759315,0.089965615
"284","October",1998,"Taylor","Lepomis punctatus","Spotted sunfish","cool",1.04845412,0.14977916
"285","December",1999,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.17670054,0.02524293
"286","February",1999,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.227779645,0.03253995
"287","October",1999,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.523395075,0.074770725
"288","April",2000,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.444630766,0.06351868
"289","December",2000,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.736936855,0.105276695
"290","February",2000,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.30128443,0.04304063
"291","October",2000,"Taylor","Lepomis punctatus","Spotted sunfish","cool",1.49192963666667,0.213132803333333
"292","December",2001,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.310140838571429,0.0443058342857143
"293","February",2001,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.682073665,0.097439095
"294","September",2001,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.00582799,0.00083257
"295","April",2002,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.82843484,0.11834783
"296","December",2002,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.36095114,0.05156445
"297","February",2002,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.107986225,0.0154266025
"298","December",2003,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.761437715,0.10877682
"299","February",2003,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.19566029,0.03913206
"300","October",2003,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.5435919,0.0776559875
"301","April",2004,"Taylor","Lepomis punctatus","Spotted sunfish","cool",2.52435266666667,0.504870533333333
"302","February",2004,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.15413752,0.0308275
"303","October",2004,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.014578465,0.002082635
"304","April",2005,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.4833512,0.09667024
"305","December",2002,"Shark","Cichlasoma bimaculatum","Black acara","cool/warm",1.339494835,0.191356405
"306","July",2003,"Shark","Cichlasoma bimaculatum","Black acara","cool/warm",0.1047448,0.01496354
"307","April",2004,"Shark","Cichlasoma bimaculatum","Black acara","cool/warm",2.117384375,0.30248348
"308","October",2004,"Shark","Cichlasoma bimaculatum","Black acara","cool/warm",1.01023575,0.14431939
"309","February",2005,"Shark","Cichlasoma bimaculatum","Black acara","cool/warm",0.60444261,0.08634894
"310","December",2002,"Taylor","Cichlasoma bimaculatum","Black acara","cool/warm",0.01152955,0.00164708
"311","April",2003,"Taylor","Cichlasoma bimaculatum","Black acara","cool/warm",0.01618735,0.00323747
"312","July",2003,"Taylor","Cichlasoma bimaculatum","Black acara","cool/warm",0.44291928,0.01457245
"313","April",1996,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.234918705,0.033559815
"314","February",1996,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.54570013,0.07795716
"315","July",1996,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.12248065,0.01749724
"316","October",1997,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.52582073,0.07511725
"317","July",1998,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.27273914,0.03896273
"318","December",1999,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.4016038,0.05737197
"319","October",2000,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.6572948,0.09389926
"320","April",2003,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.17142846,0.0244897775
"321","December",2003,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.40197862,0.057425516
"322","February",2003,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.174660875,0.02495155
"323","July",2003,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.31256712,0.0446524475
"324","October",2003,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.247417306,0.03534533
"325","April",2004,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.422996895714286,0.06042813
"326","February",2004,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.283804276666667,0.0405434666666667
"327","July",2004,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.611958688,0.087422668
"328","October",2004,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.30934216,0.044191738
"329","April",2005,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.15240467,0.03048093
"330","February",2005,"Shark","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.56921608,0.08131658375
"331","December",1996,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.392378543333333,0.0560540766666667
"332","July",1996,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.14606222,0.02086603
"333","May",1996,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.21768717,0.03109817
"334","October",1996,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.29941757,0.04277394
"335","April",1997,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.317370022,0.045338574
"336","February",1997,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.5542716225,0.07918166
"337","April",1998,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.031515925,0.00462745
"338","December",1998,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.47683081,0.06811869
"339","July",1998,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.209642403333333,0.0299489133333333
"340","February",1999,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.28170549,0.04024364
"341","February",2000,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.29665234,0.042378905
"342","October",2002,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.03783699,0.00540528
"343","December",2003,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.33171357,0.047387655
"344","July",2003,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.10200718,0.01457245
"345","October",2003,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.02898227,0.00414032
"346","April",2004,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.50878325,0.10175665
"347","February",2004,"Taylor","Enneacanthus gloriosus","Blue spotted sunfish","cool/warm",0.294149773333333,0.0588299533333333
"348","April",1996,"Shark","Lucania goodei","Bluefin killifish","cool/warm",2.24188487555556,0.320269267777778
"349","December",1996,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.16698666666667,0.16671238
"350","February",1996,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.67865250222222,0.239807498888889
"351","July",1996,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.529902588888889,0.0757003688888889
"352","October",1996,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.935154821111111,0.133593546666667
"353","April",1997,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.12322960142857,0.161723658571429
"354","December",1997,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.857653373333333,0.12252191
"355","February",1997,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.46415817777778,0.209165454444444
"356","July",1997,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.818744157777778,0.116963452222222
"357","October",1997,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.966693545555556,0.138099077777778
"358","April",1998,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.18033293222222,0.168618991111111
"359","December",1998,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.27345760444444,0.181922513333333
"360","February",1998,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.880574363333333,0.125796337777778
"361","July",1998,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.749998748888889,0.107142677777778
"362","October",1998,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.821710784444444,0.117387253333333
"363","April",1999,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.41063693777778,0.21686091
"364","December",1999,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.04258969222222,0.148941385555556
"365","February",1999,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.52033976222222,0.217191393333333
"366","July",1999,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.586271967777778,0.0837531366666667
"367","October",1999,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.978394863333333,0.139770693333333
"368","April",2000,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.3751601,0.196451444285714
"369","December",2000,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.51603170888889,0.21657596
"370","February",2000,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.52796529111111,0.218280754444444
"371","July",2000,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.534724728888889,0.0763892477777778
"372","October",2000,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.862812934444444,0.12325899
"373","April",2001,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.753982425,0.159482945
"374","December",2001,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.04431728,0.0063310425
"375","February",2001,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.0517358,0.150247971666667
"376","September",2001,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.0129097433333333,0.00184425
"377","April",2002,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.082496095,0.0117851583333333
"378","December",2002,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.344717516666667,0.0492453585714286
"379","July",2002,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.0797522583333333,0.0113931783333333
"380","October",2002,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.388668826,0.0555241186666667
"381","April",2003,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.573350777692308,0.0824004884615385
"382","December",2003,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.920176205882353,0.131453744117647
"383","February",2003,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.489972725454545,0.0809307672727273
"384","July",2003,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.463226157333333,0.066175166
"385","October",2003,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.719661486875,0.102808784375
"386","April",2004,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.948209438181818,0.135458491818182
"387","April ",2004,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.76420768,0.10917253
"388","February",2004,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.8549778875,0.12213969875
"389","July",2004,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.418831591666667,0.0607509416666667
"390","October",2004,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.404774387058824,0.0578249123529412
"391","April",2005,"Shark","Lucania goodei","Bluefin killifish","cool/warm",0.453877993333333,0.0907755983333333
"392","February",2005,"Shark","Lucania goodei","Bluefin killifish","cool/warm",1.0705936075,0.152941945
"393","December",1996,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.973219888461539,0.139031412307692
"394","July",1996,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.449425113846154,0.0642035876923077
"395","May",1996,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.06254561333333,0.151792233333333
"396","October",1996,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.583455823846154,0.0833508307692308
"397","April",1997,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.12160202222222,0.160228861111111
"398","December",1997,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.704562044615385,0.101314503846154
"399","February",1997,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.07825892363636,0.154036989090909
"400","July",1997,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.250431074166667,0.0357758683333333
"401","October",1997,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.643125793846154,0.0918751146153846
"402","April",1998,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.852982698461538,0.123544322307692
"403","December",1998,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.995844213846154,0.142263457692308
"404","February",1998,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.933210926153846,0.133448283076923
"405","July",1998,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.572415079090909,0.0823576136363636
"406","October",1998,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.630407986153846,0.0900582846153846
"407","April",1999,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.42561659,0.2328391075
"408","December",1999,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.20046112,0.0286373033333333
"409","February",1999,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.43722161538462,0.205317374615385
"410","July",1999,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.02580629,0.00368661142857143
"411","October",1999,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.111542020909091,0.0159345745454545
"412","April",2000,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.629979915555556,0.0932402833333333
"413","December",2000,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.716808514166667,0.102401215833333
"414","February",2000,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.470471613333333,0.0672102308333333
"415","July",2000,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.258783186,0.036969026
"416","October",2000,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.454521299230769,0.0649316138461538
"417","April",2001,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.833093045,0.247705275
"418","December",2001,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.247177437142857,0.0353110628571429
"419","February",2001,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.77657914375,0.1109398775
"420","July",2001,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.039425895,0.005632275
"421","September",2001,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.070035824,0.010005118
"422","April",2002,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.4135200625,0.059074295
"423","December",2002,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.245047819090909,0.0350068309090909
"424","February",2002,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.65699497,0.0938564242857143
"425","July",2002,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.09507062,0.01358152
"426","October",2002,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.1937702075,0.02768145875
"427","April",2003,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.1900131025,0.03800262125
"428","December",2003,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.01373460230769,0.144819229230769
"429","February",2003,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.494154248888889,0.0988308511111111
"430","July",2003,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.527603989166667,0.075372
"431","October",2003,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.711872847692308,0.101696121538462
"432","April",2004,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",1.30871735222222,0.261743472222222
"433","December",2004,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.131298984,0.018756997
"434","February",2004,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.860375622222222,0.172075123333333
"435","October",2004,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.0626083283333333,0.00894404666666667
"436","April",2005,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.100624666666667,0.0201249316666667
"437","February",2005,"Taylor","Lucania goodei","Bluefin killifish","cool/warm",0.14367619875,0.02873524
"438","December",1997,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.36154448,0.05164921
"439","February",1998,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.285860605,0.04083723
"440","July",1998,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.07581833,0.01083119
"441","April",1999,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.67563077,0.11260513
"442","December",1999,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",5.15710568,0.73672938
"443","July",2000,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.69704327,0.09957761
"444","December",2001,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.496926415,0.070989485
"445","April",2002,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.13868428,0.01981204
"446","December",2002,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.454517338333333,0.06493105
"447","July",2002,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.066276325,0.009468045
"448","October",2002,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.356728881428571,0.0509612714285714
"449","April",2003,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.09860466,0.01408638
"450","December",2003,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.587498218,0.083928318
"451","February",2003,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.323590218,0.046227174
"452","July",2003,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.42965296,0.061378995
"453","October",2003,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.383018414,0.054716916
"454","April",2004,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.677446595,0.096778085
"455","February",2004,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",1.03312912333333,0.147589876666667
"456","July",2004,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.501326445,0.07161806
"457","October",2004,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.3286865275,0.04695522
"458","April",2005,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.30505494,0.06101099
"459","February",2005,"Shark","Lepomis marginatus","Dollar sunfish","cool/warm",0.887556479,0.126793783
"460","July",1996,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.58095277,0.08299325
"461","October",1996,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.12095897,0.01727985
"462","April",1997,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.277424856666667,0.0396321233333333
"463","December",1997,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.138566705,0.02149479
"464","February",1997,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.06277241,0.00896749
"465","July",1997,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.45250421,0.06464346
"466","October",1997,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.1388163575,0.01983091
"467","April",1998,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.21607191,0.03086742
"468","July",1998,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.657157755,0.093879675
"469","April",1999,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.81125086,0.11589298
"470","December",1999,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.24823118,0.0354616
"471","October",1999,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.104851565,0.014978795
"472","February",2000,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.197943893333333,0.0282777
"473","December",2001,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.45690624,0.06527232
"474","February",2001,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.12287946,0.01755421
"475","April",2002,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",1.45268415,0.20752631
"476","December",2002,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.02733011,0.0039043
"477","February",2002,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.12557002,0.017938575
"478","October",2002,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.285154025,0.04073629
"479","December",2003,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.960070085,0.13715287
"480","July",2003,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.0772109,0.01103013
"481","October",2003,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.308371895,0.04405313
"482","April",2004,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",1.602675818,0.320535162
"483","December",2004,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.229053234,0.03272189
"484","February",2004,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.222000923333333,0.0444001833333333
"485","October",2004,"Taylor","Lepomis marginatus","Dollar sunfish","cool/warm",0.21079434,0.03011348
"486","April",1996,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.20622898,0.0294612833333333
"487","December",1996,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.03980741,0.00568677
"488","February",1996,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.190084106666667,0.02715487
"489","July",1996,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0305517433333333,0.00436453333333333
"490","October",1996,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.04439857,0.006342655
"491","April",1997,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.03532548,0.00571711
"492","December",1997,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.08439865,0.01205695
"493","February",1997,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0772469333333333,0.0110352766666667
"494","October",1997,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.02446276,0.00349468
"495","April",1998,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.07401814,0.0105740175
"496","December",1998,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.29402428,0.04200347
"497","February",1998,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.073282775,0.0104689675
"498","July",1998,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.301014055,0.0430020075
"499","October",1998,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.196505956,0.028072278
"500","April",1999,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.217504423333333,0.03723547
"501","December",1999,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.1626581425,0.0232368775
"502","February",1999,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.207467893333333,0.0296382683333333
"503","July",1999,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.12183089,0.01740441
"504","October",1999,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.045106295,0.0064437575
"505","April",2000,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.1883369225,0.026905275
"506","December",2000,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.159363803333333,0.0227662583333333
"507","February",2000,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.206767642,0.029538234
"508","July",2000,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.114989161666667,0.0164270216666667
"509","October",2000,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.2496073,0.035658186
"510","February",2001,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.189881183333333,0.0271258833333333
"511","April",2002,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.07622503,0.01088929
"512","December",2002,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.09506981,0.0135814
"513","July",2002,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.00584429,0.0008349
"514","October",2002,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.1716906725,0.0245272375
"515","April",2003,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0936074,0.013372485
"516","December",2003,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.26089774,0.0372711066666667
"517","February",2003,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.121893098,0.03856708
"518","July",2003,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.064596325,0.0092280475
"519","October",2003,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.1520014,0.0217144875
"520","April",2004,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0570963783333333,0.00815662666666667
"521","February",2004,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.11864767875,0.0169496675
"522","July",2004,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.113281866666667,0.0161831233333333
"523","October",2004,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.09373737375,0.01339105125
"524","April",2005,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0702278633333333,0.01404557
"525","February",2005,"Shark","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.223952594615385,0.0319932276923077
"526","December",1996,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.105601077777778,0.0150858677777778
"527","July",1996,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.07740673875,0.011058105
"528","May",1996,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.06513098,0.00930443
"529","October",1996,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.08497438875,0.0121392
"530","April",1997,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.270011604285714,0.0385730857142857
"531","December",1997,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.055996235,0.008071665
"532","February",1997,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.15767232375,0.0225246175
"533","July",1997,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.01775173,0.00253596
"534","October",1997,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0418782666666667,0.00598260666666667
"535","April",1998,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.15443345,0.02217221125
"536","December",1998,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.145728601666667,0.0208183716666667
"537","February",1998,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.0317331316666667,0.0045846
"538","July",1998,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.16020762,0.0228868025
"539","October",1998,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.152782084,0.021826012
"540","April",1999,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.423829145,0.06881271
"541","December",1999,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.02754278,0.003934685
"542","February",1999,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.15569135625,0.02224162125
"543","October",1999,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.07737043,0.01105292
"544","April",2000,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.110707352,0.015909394
"545","December",2000,"Taylor","Elassoma evergladei","Everglades pygmy sunfish","cool/warm",0.282193952,0.040313422
